Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Right,1,Antenna,
"C1, C15, C16, C2",0402,4,12 pF,C1547
C10,0402,1,100 pF,C1546
"C11, C5, C7",0402,3,100 nF,C1525
"C12, C13",0603,2,1.0 uF,C15849
C3,0402,1,1.0 pF,C1550
C4,0603,1,1.2 pF,C913539
C6,0603,1,4.7 uF,C19666
D1,SOD-323_L1.8-W1.3-LS2.5-RD,1,1N5819WS,C191023
J1,HDR-SMD_10P-P1.27-V-M-R2-C5-LS5.5,1,KH-1.27PH180-2X5P-L7.2-SMT,C4943297
J2,PinHeader_1x06_P1.27mm_Vertical,1,Rothult_Debug_Header,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
L1,0402,1,4.7 nH,C2041409
L2,0402,1,2.2 nH,C2044084
LED1,LED0805-R-RD,1,0805G (Green),C2297
Q1,SOT-23,1,2N7002,C8545
Q2,SOT-23,1,IRML6401,C3034
"R1, R2, R3, R5",0402,4,10k,C270371
R4,0603,1,100R Resistor,C22775
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,TS-1187A-B-A-B,C318884
U1,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm_ThermalVias,1,nRF52833-QDxx,C2895249
X1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32Mhz crystal,C2901738
X2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz crystal,C841881
