Designator,Mid X,Mid Y,Rotation,Layer
C1,125.984779,-83.311979,270.0,top
C10,127.889779,-86.613979,0.0,top
C11,125.603779,-81.025979,90.0,top
C12,118.745779,-81.800979,90.0,top
C13,121.552779,-81.025979,0.0,top
C15,116.186,-81.7624,270.0,top
C16,114.916,-81.7624,270.0,top
C2,127.889779,-81.235979,0.0,top
C3,126.365779,-88.673979,90.0,top
C4,129.921779,-88.137979,90.0,top
C5,117.5,-81.787979,270.0,top
C6,117.8,-89.9,270.0,top
C7,125.25,-91.5,0.0,top
D1,117.75,-97.75,270.0,top
J1,131.8,-76.0,270.0,top
J2,114.7,-90.475,180.0,top
J3,133.6,-88.175,180.0,top
L1,128.120779,-89.153979,0.0,top
L2,129.921779,-90.654979,270.0,top
LED1,117.75,-74.95,270.0,top
Q1,122.5,-93.75,180.0,top
Q2,118.5,-93.7625,90.0,top
R1,125.5,-93.2,0.0,top
R2,125.49,-94.3,180.0,top
R3,117.8,-86.69,270.0,top
R4,118.0,-78.825,270.0,top
R5,116.8,-86.69,270.0,top
SW1,123.3,-74.95,180.0,top
U1,122.045779,-87.295979,90.0,top
X1,127.889779,-83.311979,90.0,top
X2,115.75,-84.0,180.0,top
AE1,0,0,0,bottom
